,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
0,james cameron,cch pounder,joel david moore,wes studi,action adventure fantasy sci-fi,avatar,cch pounder joel david moore wes studi james cameron action adventure fantasy sci-fi
1,gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: at world's end,johnny depp orlando bloom jack davenport gore verbinski action adventure fantasy
2,sam mendes,christoph waltz,rory kinnear,stephanie sigman,action adventure thriller,spectre,christoph waltz rory kinnear stephanie sigman sam mendes action adventure thriller
3,christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action thriller,the dark knight rises,tom hardy christian bale joseph gordon-levitt christopher nolan action thriller
4,doug walker,doug walker,rob walker,unknown,documentary,star wars: episode vii - the force awakens            ,doug walker rob walker unknown doug walker documentary
5,andrew stanton,daryl sabara,samantha morton,polly walker,action adventure sci-fi,john carter,daryl sabara samantha morton polly walker andrew stanton action adventure sci-fi
6,nathan greno,brad garrett,donna murphy,m.c. gainey,adventure animation comedy family fantasy musical romance,tangled,brad garrett donna murphy m.c. gainey nathan greno adventure animation comedy family fantasy musical romance
7,joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,avengers: age of ultron,chris hemsworth robert downey jr. scarlett johansson joss whedon action adventure sci-fi
8,david yates,alan rickman,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the half-blood prince,alan rickman daniel radcliffe rupert grint david yates adventure family fantasy mystery
9,zack snyder,henry cavill,lauren cohan,alan d. purwin,action adventure sci-fi,batman v superman: dawn of justice,henry cavill lauren cohan alan d. purwin zack snyder action adventure sci-fi
10,bryan singer,kevin spacey,marlon brando,frank langella,action adventure sci-fi,superman returns,kevin spacey marlon brando frank langella bryan singer action adventure sci-fi
11,marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action adventure,quantum of solace,giancarlo giannini mathieu amalric rory kinnear marc forster action adventure
12,gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: dead man's chest,johnny depp orlando bloom jack davenport gore verbinski action adventure fantasy
13,gore verbinski,johnny depp,ruth wilson,tom wilkinson,action adventure western,the lone ranger,johnny depp ruth wilson tom wilkinson gore verbinski action adventure western
